sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
1121694,1,1,1,1,2012-05-22 10:17:36,2012-05-22 10:23:32,5.929999,1.2235,16.192134,46.0,5,1,5,1,5,,458.77,1,0,0,0,0,HOME,WORK
1121694,1,2,1,2,2012-05-22 18:02:18,2012-05-22 18:19:51,17.549999,2.8059,20.031097,50.3,5,2,"5,1",2,"1,5",65.939638,18.48,1,0,0,0,0,WORK,OTHER
1121694,1,3,1,3,2012-05-22 18:38:20,2012-05-22 18:50:52,12.529999,2.736399,16.956842,44.7,5,2,"1,5",2,"1,5",69.717465,27.55,1,0,0,0,0,OTHER,WORK
1121694,1,4,1,4,2012-05-22 19:18:25,2012-05-22 19:24:06,5.679999,1.287199,14.775247,28.0,5,1,5,1,5,39.967082,35.62,1,0,0,0,0,WORK,HOME
1121694,1,5,1,5,2012-05-22 19:59:43,2012-05-22 20:05:26,5.719999,1.2817,17.916666,41.0,5,1,5,1,5,18.037359,0.58,1,0,0,0,0,HOME,OTHER
1121694,1,6,1,6,2012-05-22 20:06:01,2012-05-22 20:10:55,4.9,1.2717,17.883333,35.4,5,1,5,1,5,4.608414,901.68,1,0,0,0,0,OTHER,HOME
1121694,1,7,2,1,2012-05-23 11:12:36,2012-05-23 11:14:33,1.95,0.624,17.9775,30.4,5,1,5,1,5,,227.82,1,0,0,0,0,OTHER,WORK
1121694,1,8,2,2,2012-05-23 15:02:22,2012-05-23 15:08:28,6.099999,1.3071,17.832558,32.9,5,1,5,1,5,5.734713,21.4,1,0,0,0,0,WORK,HOME
1121694,1,9,2,3,2012-05-23 15:29:52,2012-05-23 15:34:05,4.219999,1.2668,18.4075,34.2,5,1,5,1,5,37.086373,147.5,1,0,0,0,0,HOME,WORK
1121694,1,10,2,4,2012-05-23 18:01:35,2012-05-23 18:05:15,3.67,0.892099,17.037096,43.5,5,1,5,1,5,57.460466,5.05,1,0,0,0,0,WORK,OTHER
1121694,1,11,2,5,2012-05-23 18:10:18,2012-05-23 18:15:37,5.32,1.0692,15.857692,35.4,5,1,5,1,5,21.644831,57.43,1,0,0,0,0,OTHER,HOME
1121694,1,12,2,6,2012-05-23 19:13:03,2012-05-23 19:15:35,2.529999,0.3558,8.479166,17.4,5,1,5,1,5,15.770379,4.7,1,0,0,0,0,HOME,OTHER
1121694,1,13,2,7,2012-05-23 19:20:17,2012-05-23 19:30:46,10.479999,1.670199,12.666013,30.4,5,1,5,1,5,14.712077,0.38,1,0,0,0,0,OTHER,OTHER
1121694,1,14,2,8,2012-05-23 19:31:09,2012-05-23 19:38:28,7.32,1.607699,13.802919,31.1,5,1,5,1,5,11.470746,6.95,1,0,0,0,0,OTHER,OTHER
1121694,1,15,2,9,2012-05-23 19:45:25,2012-05-23 19:53:20,7.92,1.8329,22.666666,52.8,5,1,5,1,5,43.384541,1.95,1,0,0,0,0,OTHER,OTHER
1121694,1,16,2,10,2012-05-23 19:55:17,2012-05-23 19:59:58,4.679999,1.3414,16.952173,38.5,5,1,5,1,5,38.82066,8.17,1,0,0,0,0,OTHER,OTHER
