sampno,perno,gpstripid,localid,time_local,gpsspeed
1124202,3,1,1082,2012-02-03 12:21:18,1.2
1124202,3,1,1083,2012-02-03 12:21:21,1.2
1124202,3,1,1084,2012-02-03 12:21:24,1.2
1124202,3,1,1085,2012-02-03 12:21:27,2.5
1124202,3,1,1086,2012-02-03 12:21:32,1.899999
1124202,3,1,1087,2012-02-03 12:21:35,1.899999
1124202,3,1,1088,2012-02-03 12:21:38,1.2
1124202,3,1,1089,2012-02-03 12:21:41,1.899999
1124202,3,1,1090,2012-02-03 12:21:44,1.899999
1124202,3,1,1091,2012-02-03 12:21:47,1.899999
1124202,3,1,1092,2012-02-03 12:21:50,1.899999
1124202,3,1,1093,2012-02-03 12:21:53,1.899999
1124202,3,1,1094,2012-02-03 12:21:56,1.899999
1124202,3,1,1095,2012-02-03 12:21:59,2.5
1124202,3,1,1096,2012-02-03 12:22:02,1.2
1124202,3,1,1097,2012-02-03 12:22:05,1.2
1124202,3,1,1098,2012-02-03 12:22:08,1.899999
1124202,3,1,1099,2012-02-03 12:22:12,1.6
1124202,3,1,1100,2012-02-03 12:22:15,1.899999
1124202,3,1,1101,2012-02-03 12:23:57,1.2
1124202,3,1,1102,2012-02-03 12:24:00,1.2
1124202,3,1,1103,2012-02-03 12:24:03,1.899999
1124202,3,1,1104,2012-02-03 12:24:06,2.5
1124202,3,1,1105,2012-02-03 12:24:10,1.2
1124202,3,1,1106,2012-02-03 12:24:13,1.2
1124202,3,1,1107,2012-02-03 12:24:16,1.899999
1124202,3,1,1108,2012-02-03 12:24:19,1.899999
1124202,3,1,1109,2012-02-03 12:24:22,1.2
1124202,3,1,1110,2012-02-03 12:24:25,1.2
1124202,3,1,1111,2012-02-03 12:24:28,2.5
1124202,3,1,1112,2012-02-03 12:24:31,2.5
1124202,3,1,1113,2012-02-03 12:24:34,2.5
1124202,3,1,1114,2012-02-03 12:24:37,4.3
1124202,3,1,1115,2012-02-03 12:24:41,1.2
1124202,3,1,1116,2012-02-03 12:24:44,1.899999
1124202,3,1,1117,2012-02-03 12:24:47,1.899999
1124202,3,1,1118,2012-02-03 12:24:58,2.5
1124202,3,1,1119,2012-02-03 12:25:01,1.899999
1124202,3,1,1120,2012-02-03 12:25:07,1.2
1124202,3,1,1121,2012-02-03 12:25:10,1.2
1124202,3,1,1122,2012-02-03 12:25:13,1.2
1124202,3,1,1123,2012-02-03 12:25:16,2.5
1124202,3,1,1124,2012-02-03 12:25:19,1.2
1124202,3,1,1125,2012-02-03 12:25:28,1.2
1124202,3,1,1126,2012-02-03 12:25:31,3.7
1124202,3,1,1127,2012-02-03 12:25:34,2.5
1124202,3,1,1128,2012-02-03 12:25:37,2.5
1124202,3,1,1129,2012-02-03 12:25:40,1.2
1124202,3,1,1130,2012-02-03 12:25:46,1.2
1124202,3,1,1131,2012-02-03 12:25:49,1.2
1124202,3,1,1132,2012-02-03 12:25:52,1.2
1124202,3,1,1133,2012-02-03 12:25:55,2.5
1124202,3,1,1134,2012-02-03 12:25:58,1.2
1124202,3,1,1135,2012-02-03 12:26:01,1.899999
1124202,3,1,1136,2012-02-03 12:26:04,1.2
1124202,3,1,1137,2012-02-03 12:26:07,1.2
1124202,3,1,1138,2012-02-03 12:26:10,1.2
1124202,3,1,1139,2012-02-03 12:26:13,1.899999
1124202,3,1,1140,2012-02-03 12:26:16,1.899999
1124202,3,1,1141,2012-02-03 12:26:19,2.5
1124202,3,1,1142,2012-02-03 12:26:22,2.5
1124202,3,1,1143,2012-02-03 12:26:25,2.5
